start-location,start_time,exit_time
50,196,266
31,69,184
70,171,238
15,355,416
63,155,234
23,114,184
9,218,306
96,147,186
59,288,382
10,117,184
60,326,438
21,131,161
92,61,146
69,155,248
63,37,105
25,301,393
19,215,263
88,211,300
64,40,150
13,206,258
50,101,198
74,227,261
86,80,136
56,327,428
95,33,70
67,295,393
47,119,207
88,326,390
47,214,272
77,293,338
90,33,95
87,56,145
42,275,342
25,258,372
49,133,209
84,360,478
12,280,363
93,276,308
57,243,316
39,353,451
82,262,296
83,227,346
11,223,317
35,32,149
29,29,122
82,84,131
37,251,303
76,245,309
83,107,163
44,222,298
25,150,203
28,32,87
85,85,202
64,6,119
89,161,251
57,222,322
89,14,99
15,12,51
33,286,358
7,113,176
35,357,395
8,267,378
55,309,344
16,313,425
73,131,196
69,113,205
88,228,258
52,75,123
91,230,321
54,122,173
32,129,213
67,309,378
40,50,104
71,300,337
53,86,188
4,90,170
98,197,250
60,38,124
67,111,175
30,73,118
77,29,73
32,235,307
61,17,83
59,268,314
7,12,83
67,251,329
43,179,250
41,62,152
53,171,242
73,233,347
67,188,294
42,15,73
23,279,336
35,10,80
78,340,415
6,295,405
8,149,180
83,303,377
80,18,56
65,51,142
2,262,316
64,306,386
24,287,331
26,76,167
55,237,331
49,301,409
26,158,217
65,325,378
39,134,253
27,49,123
88,12,86
29,46,98
95,7,60
31,143,241
56,241,292
69,332,402
20,89,180
59,33,133
13,344,395
30,14,95
6,41,102
25,341,393
6,306,410
89,39,157
80,31,146
42,102,182
45,123,205
67,18,79
70,172,284
14,209,279
25,32,77
86,332,366
83,172,227
54,227,318
68,29,142
81,193,258
47,102,145
92,225,279
58,282,389
59,204,314
18,79,131
33,35,119
98,141,217
24,94,165
47,119,217
80,260,329
84,158,271
56,322,438
43,217,264
32,324,428
36,31,128
16,293,337
13,207,274
76,206,306
50,323,398
55,314,362
67,255,374
80,53,136
13,270,316
92,266,333
8,211,273
58,135,219
76,115,231
37,192,285
7,141,179
45,224,313
0,140,229
1,359,409
33,214,328
49,291,388
75,40,97
69,176,232
87,91,127
46,218,326
7,73,179
59,69,186
47,202,285
52,44,144
19,146,225
88,86,131
14,123,207
14,212,291
58,123,177
42,27,59
63,216,257
87,292,407
14,69,173
37,258,361
14,252,349
74,150,208
93,138,235
31,312,422
4,55,149
22,248,314
64,59,104
23,79,130
44,328,373
94,226,282
0,359,454
66,295,389
