start-location,start_time,exit_time
14,209,279
18,37,116
14,123,207
43,179,250
27,49,123
80,18,56
67,193,239
16,93,133
76,228,291
23,279,336
22,254,303
64,306,386
64,348,466
55,309,344
55,116,221
25,258,372
94,226,282
46,19,92
27,16,135
49,133,209
97,255,301
93,184,298
80,31,146
55,256,342
52,44,144
22,67,151
8,211,273
3,174,213
9,218,306
53,121,217
41,255,306
73,131,196
13,206,258
90,33,95
7,73,179
25,322,368
88,12,86
4,327,420
13,44,103
64,40,150
58,135,219
75,177,288
31,69,184
19,215,263
2,1,62
28,32,87
64,6,119
85,197,231
96,73,137
77,166,260
81,103,213
95,180,275
83,303,377
12,123,196
53,344,456
90,8,42
69,155,248
16,293,337
50,196,266
63,216,257
87,11,71
44,109,173
33,73,176
43,106,205
23,87,152
71,300,337
63,155,204
42,175,239
46,171,239
95,132,232
15,12,51
2,93,208
69,332,402
94,106,174
92,237,342
81,193,258
56,327,428
60,177,216
0,221,305
38,347,451
29,46,98
7,288,363
88,211,300
30,87,143
76,268,341
77,293,338
41,62,152
60,38,124
26,197,276
75,40,97
92,225,279
50,85,194
5,235,285
80,260,329
85,357,418
37,296,414
56,322,438
88,311,343
69,176,232
56,241,292
82,262,296
64,150,222
14,69,173
47,214,272
66,295,389
94,188,290
61,122,189
49,291,388
82,99,149
82,292,358
54,22,106
77,29,73
88,328,407
98,237,331
66,210,257
58,280,335
12,280,363
49,226,329
42,321,365
89,39,157
45,330,392
60,326,438
6,41,102
8,47,150
93,138,235
4,233,348
67,111,175
92,54,122
14,329,388
61,201,291
52,155,260
43,217,264
30,196,284
72,122,156
18,69,132
35,167,264
6,255,348
83,227,346
33,286,358
4,55,149
24,287,331
64,38,129
17,127,225
82,84,131
66,197,250
68,75,170
39,3,67
86,131,226
45,224,313
57,27,123
25,301,393
52,223,328
67,255,374
27,95,138
81,18,93
84,360,478
63,155,234
11,262,324
58,139,209
27,20,103
14,75,154
99,108,188
47,102,145
31,312,422
97,186,235
88,86,131
61,18,67
65,51,142
40,166,229
63,126,204
12,50,94
13,344,395
28,154,200
42,27,59
8,149,180
42,318,349
43,39,93
52,63,113
31,171,278
50,101,198
46,218,326
88,228,258
10,265,344
86,165,219
49,301,409
56,137,178
63,248,278
37,192,285
37,258,361
94,238,326
94,131,164
61,237,339
81,302,344
18,232,312
73,233,347
27,225,277
89,14,99
15,73,182
58,123,177
34,71,118
10,179,260
8,267,378
4,123,156
59,216,269
41,244,334
92,266,333
44,41,109
28,353,387
31,72,136
16,313,425
54,188,281
18,79,131
30,103,142
19,239,326
22,166,267
92,341,420
29,29,122
58,243,340
52,360,447
50,323,398
11,223,317
19,261,365
21,131,161
23,36,128
20,245,283
74,150,208
43,240,346
0,359,454
23,14,56
84,316,358
95,33,70
64,119,166
13,207,274
84,164,244
82,292,350
32,129,213
23,79,130
6,306,410
77,16,84
7,113,176
62,264,365
50,128,192
70,86,183
9,294,360
93,15,68
11,102,181
50,252,306
64,302,350
26,151,252
79,318,411
49,359,427
89,88,147
65,271,359
28,210,320
27,186,239
68,219,255
85,143,234
70,172,284
83,172,227
78,340,415
1,359,409
32,324,428
35,32,149
20,42,117
22,293,323
59,288,382
89,161,251
63,37,105
79,223,288
6,295,405
67,309,378
52,146,263
38,146,243
87,91,127
81,275,357
81,188,235
1,106,209
40,50,104
2,354,406
65,161,216
32,18,110
83,59,135
13,303,359
76,206,306
55,237,331
48,112,170
16,321,435
83,42,138
77,151,231
65,325,378
24,94,165
70,275,367
14,230,319
49,348,405
21,169,212
45,344,402
89,106,195
47,119,217
52,76,146
21,317,376
45,281,375
26,13,58
54,227,318
66,149,198
56,326,371
57,220,297
14,212,291
16,144,227
83,292,404
67,295,393
19,204,319
69,106,190
47,56,157
18,152,195
67,18,79
33,326,360
64,98,183
59,33,133
62,68,181
17,120,236
43,193,283
85,286,318
96,147,186
18,228,290
31,143,241
67,188,294
14,250,305
98,243,284
87,56,145
23,343,408
77,295,370
72,179,223
84,120,179
5,191,297
69,113,205
25,32,77
17,84,121
56,123,201
84,158,271
69,293,398
10,184,224
30,73,118
3,311,375
93,276,308
96,112,150
86,80,136
58,279,320
89,195,291
2,64,121
74,84,200
87,36,113
53,86,188
10,117,184
54,122,173
1,156,243
20,39,130
6,343,377
10,185,227
55,314,362
53,171,242
21,103,172
60,77,151
76,115,231
67,355,408
20,89,180
89,22,119
3,199,229
45,123,205
68,29,142
50,336,375
86,120,209
33,214,328
83,107,163
54,262,306
78,152,226
93,302,361
25,53,148
14,252,349
23,30,121
25,150,203
76,245,309
26,255,325
39,134,253
57,13,119
28,228,336
95,7,60
58,278,393
67,251,329
87,277,352
1,311,387
59,268,314
85,104,174
61,183,220
44,222,298
35,10,80
13,270,316
7,141,179
56,18,104
19,190,296
40,154,269
