start-location,start_time,exit_time
30,73,118
18,69,132
38,119,238
82,292,350
44,109,173
58,278,393
45,344,402
10,184,224
58,279,320
98,243,284
66,356,461
13,44,103
41,255,306
87,277,352
33,35,119
14,123,207
8,149,180
75,177,288
64,38,129
30,14,95
18,232,312
71,247,286
84,120,179
59,13,78
50,196,266
85,357,418
94,238,326
32,330,443
20,37,156
54,227,318
99,108,188
93,302,361
19,190,296
36,31,128
90,33,95
12,280,363
90,8,42
83,292,404
87,91,127
2,1,62
87,56,145
7,141,179
99,93,169
33,73,176
39,3,67
33,214,328
69,155,248
23,87,152
54,122,173
76,43,92
35,32,149
76,268,341
44,41,109
96,73,137
89,106,195
62,124,235
34,47,161
49,226,329
73,233,347
56,137,178
32,324,428
97,186,235
94,106,174
67,255,374
81,193,258
18,37,116
41,244,334
13,206,258
26,151,252
45,224,313
61,183,220
40,166,229
64,98,183
63,126,204
32,129,213
61,237,339
47,56,157
54,171,207
47,119,217
26,76,167
70,172,284
69,332,402
88,86,131
8,211,273
52,76,146
26,197,276
33,326,360
5,196,247
50,252,306
47,202,285
21,317,376
23,30,121
3,174,213
63,248,278
58,220,308
61,122,189
3,92,162
77,166,260
10,179,260
26,13,58
